Well,sample concentration,goal concentration,normalized volume
A1,1,0,15
B1,0.057189217,0,15
C1,0.103124859,0,15
D1,0.691698012,0,15
E1,0.878781727,0.71,15
F1,0.493263352,0,15
G1,0.161703592,0,15
H1,0.954721513,0.71,15
A2,1,0,15
B2,0.063144454,0,15
C2,0.019881311,0,15
D2,4.982831302,0.71,15
E2,2.755139586,0.71,15
F2,1.468304742,0.71,15
G2,0.587072479,0,15
H2,5.085814962,0.71,15
A3,0.752546915,0.71,15
B3,0.710569847,0,15
C3,0.578719478,0,15
D3,2.018209915,0.71,15
E3,4.097493576,0.71,15
F3,0.522409003,0,15
G3,2.323562518,0.71,15
H3,2.258972523,0.71,15
A4,5.173497326,0.71,15
B4,2.474426602,0.71,15
C4,2.939032809,0.71,15
D4,2.638454298,0.71,15
E4,1.36606285,0.71,15
F4,8.903296307,0.71,15
G4,1.130304125,0.71,15
H4,3.420495535,0.71,15
A5,5.821145737,0.71,15
B5,4.829539656,0.71,15
C5,6.710682477,0.71,15
D5,1.149381661,0.71,15
E5,0.71686296,0,15
F5,1.104878601,0.71,15
G5,1.370319608,0.71,15
H5,0.545334745,0,15
A6,2.052567049,0.71,15
B6,8.78791523,0.71,15
C6,5.160342844,0.71,15
D6,7.863907347,0.71,15
E6,6.593827757,0.71,15
F6,4.368145172,0.71,15
G6,7.53874083,0.71,15
H6,1.087935482,0.71,15
A7,1.378834007,0.71,15
B7,10.84059714,0.71,15
C7,0.377089173,0,15
D7,6.94673434,0.71,15
E7,11.09699428,0.71,15
F7,5.175689812,0.71,15
G7,4.645733171,0.71,15
H7,2.949858217,0.71,15
A8,5.239280893,0.71,15
B8,0.025708683,0,15
C8,4.914931827,0.71,15
D8,10.03217597,0.71,15
E8,5.346766924,0.71,15
F8,11.86026749,0.71,15
G8,1.876627024,0.71,15
H8,5.480643351,0.71,15
A9,4.326649489,0.71,15
B9,6.435155857,0.71,15
C9,3.698799874,0.71,15
D9,6.549743596,0.71,15
E9,1.604873139,0.71,15
F9,0.037447649,0,15
G9,11.22635797,0.71,15
H9,5.269986212,0.71,15
A10,2.614699017,0.71,15
B10,8.153934996,0.71,15
C10,1.028681496,0.71,15
D10,7.308879133,0.71,15
E10,2.590948551,0.71,15
F10,8.44197644,0.71,15
G10,4.787950504,0.71,15
H10,2.92820829,0.71,15
A11,3.294552662,0.71,15
B11,5.939878188,0.71,15
C11,3.629178553,0.71,15
D11,0.963167795,0.71,15
E11,2.848134804,0.71,15
F11,3.687919602,0.71,15
G11,24.77164559,0.71,15
H11,3.912194923,0.71,15
A12,7.037231897,0.71,15
B12,9.591823746,0.71,15
C12,4.706984286,0.71,15
D12,1,0,15
E12,7.40610892,0.71,15
F12,1.977427776,0.71,15
G12,6.640123203,0.71,15
H12,1,0,15
